"Категория";"Производитель";"Товар";"Описание";"Цена (розница)";"Наличие";"Ссылка";"Гарантия, м";"Полное описание";"Ссылка на товар в интернет магазине"
"Мобильные телефоны";"Apple";"Apple iPhone 6S 128Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"1410.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_6S_128Gb-2172629.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 6S 16Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"1030.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_6S_16Gb-2172617.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 6S 32Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"1100.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_6S_32Gb-2660253.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 6S 64Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"1250.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_6S_64Gb-2172625.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 6S Plus 128Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"1700.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_6S_Plus_128Gb-2172639.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 6S Plus 16Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"1150.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_6S_Plus_16Gb-2172631.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 6S Plus 32Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"1300.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_6S_Plus_32Gb-2708065.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 6S Plus 64Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"1400.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_6S_Plus_64Gb-2172637.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 7 128Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"1500.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_7_128Gb-2641795.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 7 256Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"1650.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_7_256Gb-2641809.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 7 32Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"1320.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_7_32Gb-2641791.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 7 Plus 128Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"1830.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_7_Plus_128Gb-2641801.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 7 Plus 256Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"1970.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_7_Plus_256Gb-2641807.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 7 Plus 32Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"1570.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_7_Plus_32Gb-2641797.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone SE 128Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"990.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_SE_128Gb-2832597.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone SE 16Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"760.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_SE_16Gb-2461865.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone SE 32Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"800.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_SE_32Gb-2832593.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone SE 64Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"900.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_SE_64Gb-2461867.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS Live G500TG";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"318.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_Live_G500TG-2711967.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS ZenFone 2 Deluxe ZE551ML 4/32Gb (1800GHz)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"440.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_ZenFone_2_Deluxe_ZE551ML_432Gb_1800GHz-2469193.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS ZenFone 2 Deluxe ZE551ML 4/32Gb (2300GHz)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"410.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_ZenFone_2_Deluxe_ZE551ML_432Gb_2300GHz-2659585.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS ZenFone 2 Deluxe ZE551ML 4/64Gb (1800GHz)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"413.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_ZenFone_2_Deluxe_ZE551ML_464Gb_1800GHz-2187843.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS ZenFone 2 Deluxe ZE551ML 4/64Gb (2300GHz)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"460.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_ZenFone_2_Deluxe_ZE551ML_464Gb_2300GHz-2659583.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS ZenFone 2 Laser ZE550KL 32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"310.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_ZenFone_2_Laser_ZE550KL_32Gb-2523961.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS ZenFone 3 Max ZC520TL 16Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"335.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_ZenFone_3_Max_ZC520TL_16Gb-2660471.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS ZenFone 3 Max ZC520TL 32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"395.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_ZenFone_3_Max_ZC520TL_32Gb-2591227.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS Zenfone 3 Max ZC553KL 2/32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"470.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_Zenfone_3_Max_ZC553KL_232Gb-2769771.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS Zenfone 3 Max ZC553KL 3/32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"520.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_Zenfone_3_Max_ZC553KL_332Gb-2769767.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS ZenFone 3 ZE520KL 32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"530.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_ZenFone_3_ZE520KL_32Gb-2589377.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS ZenFone 3 ZE520KL 64Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"630.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_ZenFone_3_ZE520KL_64Gb-2589373.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS ZenFone 3 ZE552KL 32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"530.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_ZenFone_3_ZE552KL_32Gb-2589471.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS ZenFone 3 ZE552KL 64Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"630.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_ZenFone_3_ZE552KL_64Gb-2589469.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS ZenFone Go ZB500KL";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"268.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_ZenFone_Go_ZB500KL-2691013.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS ZenFone Max (2015) ZC550KL 32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"300.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_ZenFone_Max_2015_ZC550KL_32Gb-2583387.html";"36";"";"";
"Мобильные телефоны";"ASUS";"ASUS ZenFone Max (2016) ZC550KL 32Gb";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"290.00";"На складе";"https://phone.1k.by/mobile/asus/ASUS_ZenFone_Max_2016_ZC550KL_32Gb-2539771.html";"36";"";"";
